134999,Kiku Cuernavaca,M1B
132825,puesto de tacos,M1C
135106,El Rinc�n de San Francisco,M1E
132667,little pizza Emilio Portes Gil,M1G
132613,carnitas_mata,M1H
135040,Restaurant los Compadres,M1J
132732,Taqueria EL amigo ,M1K
132875,shi ro ie,M1L
132609,Pollo_Frito_Buenos_Aires,M1M
135082,la Estrella de Dimas,M1N
135070,Restaurante 75,M1P
135069,Abondance Restaurante Bar,M1R
135065,El angel Restaurante,M1S
135076,Restaurante Pueblo Bonito,M1T
135086,Mcdonalds Parque Tangamanga,M1V
132870,Tortas y hamburguesas el gordo,M1W
132854,Sirlone,M1X
132937,rockabilly ,M2H
132856,Unicols Pizza,M2J
132668,TACOS EL GUERO,M2K
135033,Restaurant El Muladar de Calzada,M2L
132862,La Posada del Virrey,M2M
134983,Restaurant and Bar and Clothesline Carlos N Charlies,M2N
132851,KFC,M2P
135013,Giovannis,M2R
135042,Restaurant Oriental Express,M3A
132768,Mariscos Tia Licha,M3B
132561,cafe ambar,M3C
135045,Restaurante la Gran Via,M3H
132847,don burguers,M3J
135054,Restaurante y Pescaderia Tampico,M3K
134975,Rincon del Bife,M3L
135053,La Fontana Pizza Restaurante and Cafe,M3M
135050,Restaurante la Estrella de Dima,M3N
135025,El Rincon de San Francisco,M4A
135030,Preambulo Wifi Zone Cafe,M4B
135057,El Herradero Restaurante and Bar,M4C
135079,Koye Sushi,M4E
134992,Restaurant Teely,M4G
132954,la parroquia,M4H
135041,Luna Cafe,M4J
132608,Hamburguesas La perica,M4K
135046,Restaurante El Reyecito,M4L
132564,churchs,M4M
132869,Dominos Pizza,M4N
132925,el pueblito,M4P
132955,emilianos,M4R
135059,Restaurant Bar Hacienda los Martinez,M4S
135001,Vips,M4T
135063,Restaurante Alhondiga,M4V
135080,los Toneles,M4W
135000,Restaurant los Pinos,M4X
135066,Restaurante Guerra,M4Y
135034,Michiko Restaurant Japones,M5A
135060,Restaurante Marisco Sam,M5B
135055,la Cochinita Pibil Restaurante Yucateco,M5C
135108,Potzocalli,M5E
135074,Restaurante la Parroquia Potosina,M5G
135018,El Oceano Dorado,M5H
135064,Restaurante El Chivero S.A. de C.V.,M5J
135038,Restaurant la Chalita,M5K
135081,El Club,M5L
132723,Gordas de morales,M5M
135051,Restaurante Versalles,M5N
135021,Subway,M5P
135052,La Cantina Restaurante,M5R
132845,Cenaduria El Rincón de Tlaquepaque,M5S
135011,Los Vikingos,M5T
132858,Hamburguesas Valle Dorado,M5V
135026,la Cantina,M5W
132884,dairy queen,M5X
135016,Arrachela Grill,M6A
135104,vips,M6B
132630,palomo tec,M6C
135047,Restaurante Casa de las Flores,M6E
132951,VIPS,M6G
132665,TACOS CORRECAMINOS,M6H
135044,Restaurant Wu Zhuo Yi,M6J
135035,El Mundo de la Pasta,M6K
135071,Restaurante la Cantina,M6L
132834,Gorditas Doa Gloria,M6M
132846,el lechon potosino ,M6N
135048,Restaurante Bar Fu-hao,M6P
132717,tortas hawai,M6R
132861,Carls Jr,M6S
132885,Hamburguesas saul,M7A
132740,Carreton de Flautas y Migadas,M7R
132830,Rincon Huasteco,M7Y
132773,El cotorreo,M8V
132706,Gorditas Dona Tota,M8W
132872,Pizzeria Julios,M8X
134987,Chilis Cuernavaca,M8Y
132572,Cafe Chaires,M8Z
132958,tacos los volcanes,M9A
132733,Little Cesarz,M9B
132922,cafe punta del cielo,M9C
132715,tacos de la estacion,M9L
135027,Restaurant Orizatlan,M9M
132767,Restaurant Familiar El Chino,M9N
135039,Restaurant de Mariscos de Picon,M9P
134996,Sanborns Casa Piedra,M9R
132755,La Estrella de Dimas,M9V
135043,pizza clasica,M9W
132654,Carnitas Mata  Calle 16 de Septiembre,M1B
135049,Restaurante de Mariscos la Langosta,M1C
135073,Restaurante Bar El Gallinero,M1E
132560,puesto de gorditas,M1G
134976,Log Yin,M1H
135075,Mariscos El Pescador,M1J
132660,carnitas mata calle Emilio Portes Gil,M1K
132921,crudalia,M1L
132594,tacos de barbacoa enfrente del Tec,M1M
134986,Restaurant Las Mananitas,M1N
135062,Restaurante El Cielo Potosino,M1P
132766,Mikasa,M1R
135088,Cafeteria cenidet,M1S
135058,Restaurante Tiberius,M1T
132754,Cabana Huasteca,M1V
132584,Gorditas Dona Tota,M1W
135032,Cafeteria y Restaurant El Pacifico,M1X
135028,La Virreina,M2H
135085,Tortas Locas Hipocampo,M2J
132663,tacos abi,M2K
132626,la perica hamburguesa,M2L
132583,McDonalds Centro,M2M
132866,Chaires,M2N
135072,Sushi Itto,M2P
135109,Paniroles,M2R
135019,Restaurant Bar Coty y Pablo,M3A
132877,sirloin stockade,M3B
